,x,y,u
191,0.9,0.01,-0.053721833665491395
192,0.91,0.01,-0.05388631921400477
193,0.92,0.01,-0.05319992576988689
194,0.93,0.01,-0.05158616503644198
195,0.94,0.01,-0.048948217739745926
196,0.95,0.01,-0.045158802333451986
197,0.96,0.01,-0.040043571353401385
198,0.97,0.01,-0.03335411086204215
199,0.98,0.01,-0.02473033377562498
200,0.99,0.01,-0.013694511201517923
201,1.0,0.01,0.0
202,0.0,0.02,0.0
203,0.01,0.02,0.012583900287535869
204,0.02,0.02,0.025143121463112632
205,0.03,0.02,0.03765303821196557
206,0.04,0.02,0.05008913269374288
207,0.05,0.02,0.062427047980598796
208,0.06,0.02,0.07464264113810815
209,0.07,0.02,0.0867120358328535
210,0.08,0.02,0.09861167435299918
211,0.09,0.02,0.11031836893120307
212,0.1,0.02,0.12180935226280007
213,0.11,0.02,0.13306232711628427
214,0.12,0.02,0.14405551493767635
215,0.13,0.02,0.15476770335533702
216,0.14,0.02,0.1651782924971177
217,0.15,0.02,0.17526734003735195
218,0.16,0.02,0.18501560489701088
219,0.17,0.02,0.19440458952627776
220,0.18,0.02,0.20341658070474614
221,0.19,0.02,0.2120346888002958
222,0.2,0.02,0.2202428854333396
223,0.21,0.02,0.22802603949842962
224,0.22,0.02,0.23536995150003276
225,0.23,0.02,0.24226138616349843
226,0.24,0.02,0.2486881032857115
227,0.25,0.02,0.2546388867925158
228,0.26,0.02,0.260103571971597
229,0.27,0.02,0.26507307085001824
230,0.28,0.02,0.2695393956849283
231,0.29,0.02,0.27349568053406603
232,0.3,0.02,0.27693620086954873
233,0.31,0.02,0.27985639119408945
234,0.32,0.02,0.28225286061334076
235,0.33,0.02,0.28412340631162597
236,0.34,0.02,0.2854670248711366
237,0.35,0.02,0.28628392136698744
238,0.36,0.02,0.28657551616268306
239,0.37,0.02,0.2863444493229463
240,0.38,0.02,0.28559458255392883
241,0.39,0.02,0.2843309985750596
242,0.4,0.02,0.2825599978226755
243,0.41,0.02,0.280289092383628
244,0.42,0.02,0.2775269970577541
245,0.43,0.02,0.2742836174518704
246,0.44,0.02,0.27057003501516175
247,0.45,0.02,0.26639848893677076
248,0.46,0.02,0.2617823548412078
249,0.47,0.02,0.2567361202359262
250,0.48,0.02,0.2512753566879398
251,0.49,0.02,0.24541668873246755
252,0.5,0.02,0.23917775954586723
253,0.51,0.02,0.23257719344710018
254,0.52,0.02,0.22563455532602816
255,0.53,0.02,0.21837030713232713
256,0.54,0.02,0.21080576159499925
257,0.55,0.02,0.20296303337867014
258,0.56,0.02,0.19486498791841672
259,0.57,0.02,0.18653518820918497
260,0.58,0.02,0.1779978398584791
261,0.59,0.02,0.16927773474160868
262,0.6,0.02,0.16040019362723812
263,0.61,0.02,0.15139100816737583
264,0.62,0.02,0.14227638267055387
265,0.63,0.02,0.13308287610033703
266,0.64,0.02,0.12383734476425545
267,0.65,0.02,0.11456688618185237
268,0.66,0.02,0.1052987846461602
269,0.67,0.02,0.09606045902226323
270,0.68,0.02,0.08687941336178032
271,0.69,0.02,0.07778319095566386
272,0.7,0.02,0.0687993325028109
273,0.71,0.02,0.059955339142514476
274,0.72,0.02,0.05127864118962566
275,0.73,0.02,0.04279657352866834
276,0.74,0.02,0.03453635877504476
277,0.75,0.02,0.0265250995083757
278,0.76,0.02,0.018789781138829953
279,0.77,0.02,0.011357287300683598
280,0.78,0.02,0.004254430103704396
281,0.79,0.02,-0.0024920018527878765
282,0.8,0.02,-0.008855174037569937
283,0.81,0.02,-0.014808110435601584
284,0.82,0.02,-0.020323565837470126
285,0.83,0.02,-0.025373858061334513
286,0.84,0.02,-0.029930649643740495
287,0.85,0.02,-0.03396466498849508
288,0.86,0.02,-0.03744532398464494
289,0.87,0.02,-0.04034026604782284
290,0.88,0.02,-0.04261472845472796
291,0.89,0.02,-0.04423072837617246
292,0.9,0.02,-0.04514597738766205
293,0.91,0.02,-0.04531242860634032
294,0.92,0.02,-0.04467431995975128
295,0.93,0.02,-0.043165541419644085
296,0.94,0.02,-0.040706162095467464
297,0.95,0.02,-0.03719816398255856
298,0.96,0.02,-0.032521385622023384
